Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:00773001


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
773001;1;01/06/2009;1;15,0;43,2;24;5;1;1;1;;0;6,0;0,0;0,0;0,0;0,0;0,0;0,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9,9;0,0;0,0;15,0;0,0;12,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
773001;1;01/05/2009;1;20,5;80,8;30;13;1;1;1;;0;0,5;0,9;20,0;0,0;0,0;0,0;0,0;1,0;4,5;1,8;8,0;0,0;0,0;2,0;0,2;0,0;0,0;0,9;0,0;0,0;0,5;0,0;0,0;0,0;20,0;0,0;0,0;0,0;0,0;20,5;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
773001;1;01/04/2009;1;20,0;26,6;11;;1;1;0;;0;;;;;;;;0,0;0,5;1,0;20,0;0,8;0,0;0,0;0,4;0,2;1,0;0,0;0,0;0,0;0,0;0,3;0,0;0,0;0,2;2,2;0,0;0,0;0,0;0,0;;0;0;0;0;0;0;0;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
773001;1;01/03/2009;1;;;;;0;0;0;;0;0,3;10,0;20,0;0,0;0,0;0,5;0,0;0,5;1,0;0,0;0,3;0,0;1,0;10,0;2,5;0,0;0,0;0,0;0,8;0,0;2,0;0,0;0,0;0,0;1,9;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;
773001;1;01/02/2009;1;12,3;49,2;19;14;1;1;1;;0;0,0;1,0;2,0;0,0;0,0;1,2;2,5;3,0;0,0;0,0;0,6;1,6;0,0;0,0;10,0;1,0;0,5;0,0;12,3;0,0;0,0;12,0;1,0;0,5;0,0;0,0;0,0;0,0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
773001;1;01/01/2009;1;20,0;144,2;7;17;1;1;1;;0;0,9;0,0;0,0;0,0;0,6;0,0;20,0;0,8;10,0;20,0;12,0;8,9;6,0;0,0;0,0;1,0;10,0;20,0;9,0;0,0;0,0;0,0;0,0;10,0;0,0;1,0;2,0;0,0;0,0;12,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
773001;1;01/12/2008;1;12,0;34,7;10;13;1;1;1;;0;0,0;0,0;4,4;0,0;0,0;0,0;0,0;0,0;0,0;12,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;7,0;1,1;1,2;0,0;0,0;0,0;1,3;1,5;1,0;1,0;1,0;1,2;1,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
773001;1;01/11/2008;1;20,0;79,6;30;10;1;1;1;;0;0,0;0,0;9,7;2,1;0,0;0,0;0,0;0,0;0,0;0,0;9,5;0,0;0,0;7,9;2,0;9,8;0,0;9,8;0,0;0,0;0,0;0,0;0,0;6,0;0,0;0,0;2,8;0,0;0,0;20,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
773001;1;01/10/2008;1;22,4;48,8;11;10;1;1;1;;0;0,0;0,0;0,0;0,8;0,0;1,0;3,0;4,0;0,0;0,0;22,4;0,0;0,0;0,0;1,0;0,0;0,0;0,0;1,6;0,0;0,0;0,0;1,0;9,7;4,3;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
773001;1;01/09/2008;1;20,0;39,1;19;7;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;6,6;8,8;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;20,0;2,0;0,0;0,0;0,0;0,0;0,2;0,5;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
773001;1;01/08/2008;1;4,4;13,5;19;9;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,7;0,9;0,7;4,4;1,0;2,0;2,1;0,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
773001;1;01/07/2008;1;20,0;36,9;20;12;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;10,5;0,8;1,0;0,2;0,1;0,0;0,0;0,0;0,9;0,7;1,0;0,0;0,5;20,0;1,0;0,0;0,0;0,0;0,0;0,2;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
